cut_fraction,gate_type,candidate,categories,max_horizon_days,score,initial_cash,available_cash_end,locked_capital_end,open_positions_end,realized_profit,unrealized_profit_marked_at_cost,total_account_value,account_return,eventual_open_profit_audit_only,deployed,fees,entries,resolved_exits,hit_rate,gross_winnings,gross_losses,profit_factor,dollar_days_locked,annualized_return_on_locked_capital,max_drawdown,skipped,levels
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",1,82.35013166753471,5000.0,5082.379999999983,0,0,82.38,0.0,5082.379999999983,0.016475999999996604,0.0,388.38999999999925,23.925199277675908,862,862,0.31206496519721577,326.96999999999997,-244.59,1.336808536734944,298.6833246527778,100.67083602660156,0.004825683671838129,"{'horizon_gate': 3034, 'untrained_level': 2698, 'entry_liquidity_limited': 774, 'category_gate': 137, 'threshold_exit_insufficient_liquidity': 149, 'minimum_order': 141}",
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",3,77.90268957255786,5000.0,5077.509999999956,0.49,4,78.0,0.0,5077.999999999955,0.015599999999991176,0.040000000000000036,576.5699999999988,36.496198292362735,1299,1295,0.3088803088803089,449.09,-371.09000000000003,1.210191597725619,728.1042744212981,39.101542183127734,0.00742459765231892,"{'horizon_gate': 2489, 'untrained_level': 2698, 'entry_liquidity_limited': 1214, 'threshold_exit_insufficient_liquidity': 258, 'category_gate': 137, 'minimum_order': 249}",
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",7,97.28467972490738,5000.0,5090.869999999942,6.96,20,97.82999999999997,0.0,5097.829999999942,0.019565999999988426,-4.7299999999999995,824.7699999999974,53.91189856407105,1904,1884,0.28662420382165604,648.23,-550.4,1.1777434593023257,1973.202750925929,18.096442437678522,0.008262570967928025,"{'horizon_gate': 1777, 'untrained_level': 2698, 'entry_liquidity_limited': 1793, 'minimum_order': 356, 'threshold_exit_insufficient_liquidity': 420, 'category_gate': 137}",
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",14,76.48114700412034,5000.0,5067.529999999921,9.709999999999997,23,77.23999999999998,0.0,5077.239999999921,0.015447999999984141,-5.18,913.2999999999965,59.95229826057766,2185,2162,0.27474560592044406,691.5899999999999,-614.35,1.125726377472125,2733.5299587962945,10.313623931312081,0.009880840543882722,"{'horizon_gate': 1434, 'untrained_level': 2698, 'entry_liquidity_limited': 2091, 'minimum_order': 418, 'threshold_exit_insufficient_liquidity': 478, 'category_gate': 137}",
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",30,59.1047700219328,5000.0,5034.699999999903,26.210000000000004,71,60.909999999999926,0.0,5060.909999999903,0.012181999999980597,-17.849999999999994,1046.4499999999946,69.53869836295553,2513,2442,0.26617526617526616,763.96,-703.05,1.0866367968138826,4947.29978067129,4.493794794255086,0.01124216843829676,"{'horizon_gate': 1053, 'untrained_level': 2698, 'entry_liquidity_limited': 2393, 'threshold_exit_insufficient_liquidity': 566, 'minimum_order': 471, 'category_gate': 137}",
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",60,67.06396611744208,5000.0,5027.049999999887,42.960000000000015,116,70.00999999999995,0.0,5070.009999999887,0.014001999999977421,-28.260000000000005,1148.9599999999914,77.12429806704975,2754,2638,0.2623199393479909,838.06,-768.05,1.0911529197317882,7980.338825578709,3.2020758214043514,0.013893434381285171,"{'horizon_gate': 755, 'untrained_level': 2698, 'entry_liquidity_limited': 2634, 'threshold_exit_insufficient_liquidity': 631, 'minimum_order': 528, 'category_gate': 137}",
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",90,55.96521688138871,5000.0,5008.369999999881,51.18000000000002,140,59.54999999999983,0.0,5059.549999999881,0.011909999999976106,-32.46999999999999,1203.9499999999894,81.43489771188504,2893,2753,0.2600799128223756,861.1099999999999,-801.56,1.074292629372723,10257.831186111123,2.1189420653977677,0.013683012511378096,"{'horizon_gate': 569, 'untrained_level': 2698, 'entry_liquidity_limited': 2784, 'threshold_exit_insufficient_liquidity': 658, 'minimum_order': 575, 'category_gate': 137}",
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",180,21.679650364039063,5000.0,4940.189999999867,87.95000000000002,223,28.139999999999716,0.0,5028.139999999867,0.005627999999973321,-65.94000000000004,1320.6599999999864,90.00929799783913,3154,2931,0.2552030023882634,890.5,-862.3599999999999,1.0326313836448817,20628.49635960654,0.49790832162212934,0.015254598479095128,"{'horizon_gate': 236, 'untrained_level': 2698, 'entry_liquidity_limited': 3044, 'threshold_exit_insufficient_liquidity': 722, 'minimum_order': 647, 'category_gate': 137}",
0.7,market,no_crypto,"economics,entertainment,other,politics,sports,weather",none,-29.330832673020996,5000.0,4865.669999999855,113.83000000000007,311,-20.500000000000153,0.0,4979.4999999998545,-0.00410000000002908,-74.28000000000007,1415.9599999999832,97.07739786869753,3348,3037,0.24925913730655253,899.1800000000001,-919.68,0.9777096381350036,31393.32673020837,-0.23834683288916897,0.018198617236765635,"{'entry_liquidity_limited': 3211, 'untrained_level': 2698, 'threshold_exit_insufficient_liquidity': 753, 'minimum_order': 689, 'category_gate': 137}",
0.7,market,sports_other,"other,sports",1,92.01741024199069,5000.0,5092.039999999986,0,0,92.03999999999995,0.0,5092.039999999986,0.018407999999997315,0.0,293.9399999999998,17.945699854087795,677,677,0.30576070901033975,275.01,-182.97000000000003,1.5030332841449414,225.89758009259268,148.7160685219822,0.004531824724132977,"{'horizon_gate': 2096, 'untrained_level': 2698, 'category_gate': 1289, 'entry_liquidity_limited': 611, 'threshold_exit_insufficient_liquidity': 105, 'minimum_order': 112}",
